text,label
"Win a free iPhone now click here",spam
"Congratulations you won a lottery prize",spam
"Get rich quick easy money online",spam
"Buy cheap medicine no prescription needed",spam
"You have been selected for a special offer",spam
"Click here to claim your reward",spam
"Free gift card limited time offer",spam
"Make money fast working from home",spam
"Your account has been suspended click to verify",spam
"Earn 500 dollars per day guaranteed",spam
"Hey are you free for lunch tomorrow",ham
"The meeting is scheduled for Monday morning",ham
"Please review the attached report and send feedback",ham
"Happy birthday hope you have a great day",ham
"Can you send me the project files please",ham
"I will be late to the office today",ham
"Thanks for your help yesterday really appreciated",ham
"The homework assignment is due on Friday",ham
"Let me know if you need anything else",ham
"See you at the conference next week",ham
